File Path,Label,Class
Notes Datasets\1. E\01-E-10.wav,E,21
Notes Datasets\1. E\01-E-11.wav,E,21
Notes Datasets\1. E\01-E-12.wav,E,21
Notes Datasets\1. E\01-E-13.wav,E,21
Notes Datasets\1. E\01-E-14.wav,E,21
Notes Datasets\1. E\01-E-15.wav,E,21
Notes Datasets\1. E\01-E-16.wav,E,21
Notes Datasets\1. E\01-E-17.wav,E,21
Notes Datasets\1. E\01-E-18.wav,E,21
Notes Datasets\1. E\01-E-19.wav,E,21
Notes Datasets\1. E\01-E-2.wav,E,21
Notes Datasets\1. E\01-E-20.wav,E,21
Notes Datasets\1. E\01-E-21.wav,E,21
Notes Datasets\1. E\01-E-22.wav,E,21
Notes Datasets\1. E\01-E-23.wav,E,21
Notes Datasets\1. E\01-E-24.wav,E,21
Notes Datasets\1. E\01-E-25.wav,E,21
Notes Datasets\1. E\01-E-26.wav,E,21
Notes Datasets\1. E\01-E-27.wav,E,21
Notes Datasets\1. E\01-E-28.wav,E,21
Notes Datasets\1. E\01-E-29.wav,E,21
Notes Datasets\1. E\01-E-3.wav,E,21
Notes Datasets\1. E\01-E-30.wav,E,21
Notes Datasets\1. E\01-E-31.wav,E,21
Notes Datasets\1. E\01-E-32.wav,E,21
Notes Datasets\1. E\01-E-33.wav,E,21
Notes Datasets\1. E\01-E-34.wav,E,21
Notes Datasets\1. E\01-E-35.wav,E,21
Notes Datasets\1. E\01-E-36.wav,E,21
Notes Datasets\1. E\01-E-37.wav,E,21
Notes Datasets\1. E\01-E-38.wav,E,21
Notes Datasets\1. E\01-E-39.wav,E,21
Notes Datasets\1. E\01-E-4.wav,E,21
Notes Datasets\1. E\01-E-40.wav,E,21
Notes Datasets\1. E\01-E-41.wav,E,21
Notes Datasets\1. E\01-E-42.wav,E,21
Notes Datasets\1. E\01-E-43.wav,E,21
Notes Datasets\1. E\01-E-44.wav,E,21
Notes Datasets\1. E\01-E-45.wav,E,21
Notes Datasets\1. E\01-E-46.wav,E,21
Notes Datasets\1. E\01-E-47.wav,E,21
Notes Datasets\1. E\01-E-48.wav,E,21
Notes Datasets\1. E\01-E-49.wav,E,21
Notes Datasets\1. E\01-E-5.wav,E,21
Notes Datasets\1. E\01-E-50.wav,E,21
Notes Datasets\1. E\01-E-51.wav,E,21
Notes Datasets\1. E\01-E-52.wav,E,21
Notes Datasets\1. E\01-E-53.wav,E,21
Notes Datasets\1. E\01-E-54.wav,E,21
Notes Datasets\1. E\01-E-55.wav,E,21
Notes Datasets\1. E\01-E-56.wav,E,21
